cost_usd,item_id,latency_ms,llm_calls,ok,system,tokens_total,topic,topics_n
6.405e-05,F027,9514.479999998002,1,True,TB,373,earnings;regulation;bank_financial_health,3
0.0001713,F028,3623.9191999920877,3,True,LG,866,guidance;general_market;inflation,3
5.879999999999999e-05,F028,942.0556999975815,1,True,TB,326,guidance;consumer_sentiment;retail_sales;inflation,4
0.00016094999999999998,F029,3018.199799989816,3,True,LG,812,general_market;inflation,2
5.58e-05,F029,1966.934099997161,1,True,TB,303,monetary_policy;inflation;consumer_sentiment;general_market,4
0.00017655,F030,3650.3335000015795,3,True,LG,937,earnings;general_market;guidance;opec_production_cuts,4
6.18e-05,F030,1803.829600001336,1,True,TB,358,earnings;global_oil_prices;guidance,3
0.0001758,F031,2928.1386000075145,3,True,LG,974,inflation;general_market,2
6.795e-05,F031,1812.543000007281,1,True,TB,396,inflation;consumer_sentiment;monetary_policy,3
0.0001494,F032,5213.813599999412,3,True,LG,807,earnings;general_market;guidance,3
5.46e-05,F032,1952.6332000095863,1,True,TB,310,earnings;guidance;bank_financial_health,3
0.00019679999999999999,F033,3939.2130999913206,3,True,LG,1039,general_market;earnings;inflation,3
7.29e-05,F033,1863.9836000074865,1,True,TB,417,monetary_policy;earnings;big_tech_financial_impact,3
0.0001917,F034,3054.93280000519,3,True,LG,1026,earnings;general_market,2
7.305e-05,F034,1983.7652999995044,1,True,TB,418,earnings;monetary_policy;big_tech_financial_impact,3
0.00020234999999999999,F035,3669.2818999872543,3,True,LG,1070,ai_chip_demand;regulation;guidance;general_market,4
7.56e-05,F035,1212.2433999902569,1,True,TB,423,regulation;ai_chip_demand;guidance;big_tech_financial_impact,4
0.00021555,F036,3909.5317000028444,3,True,LG,1140,general_market;regulation;earnings,3
8.085e-05,F036,1537.0330000005197,1,True,TB,461,monetary_policy;loan_loss_provisions;bank_financial_health;regulation,4
0.00021,F037,3659.9794999929145,3,True,LG,1169,general_market;inflation,2
8.475e-05,F037,1238.485199995921,1,True,TB,493,monetary_policy;inflation;retail_sales;consumer_sentiment,4
0.00021119999999999998,F038,3417.1861999930115,3,True,LG,1165,earnings;inflation;guidance;general_market,4
8.07e-05,F038,1095.4898000054527,1,True,TB,475,earnings;guidance;inflation;consumer_sentiment,4
0.0002187,F039,3170.627200001036,3,True,LG,1206,regulation;general_market;earnings,3
8.58e-05,F039,1144.2764999956125,1,True,TB,500,earnings;regulation;loan_loss_provisions;bank_financial_health,4
0.00016649999999999998,F040,3719.4176000048174,3,True,LG,870,earnings;guidance;ai_chip_demand;general_market,4
6.0899999999999996e-05,F040,1192.0859000092605,1,True,TB,331,earnings;guidance;big_tech_financial_impact;general_market,4
0.000222,F041,4245.4107999947155,3,True,LG,1195,general_market;regulation,2
8.07e-05,F041,1258.3068999956595,1,True,TB,484,regulation;retail_sales;consumer_sentiment,3
0.00016305,F042,3245.0582000019494,3,True,LG,868,ai_chip_demand;earnings;general_market,3
6.539999999999999e-05,F042,1231.629999994766,1,True,TB,343,ai_chip_demand;earnings;guidance;big_tech_financial_impact;general_market,5
0.0001635,F043,3605.260399999679,3,True,LG,835,general_market;inflation,2
4.71e-05,F043,1209.0586999984225,1,True,TB,299,,0
0.00015314999999999998,F044,2701.800999988336,3,True,LG,811,general_market;regulation,2
5.67e-05,F044,1989.6215000044322,1,True,TB,315,big_tech_financial_impact;regulation;general_market,3
0.00016439999999999998,F045,3959.6128999983193,3,True,LG,856,earnings;inflation;general_market,3
5.879999999999999e-05,F045,2748.0595000088215,1,True,TB,326,earnings;inflation;consumer_sentiment;retail_sales,4
0.00016215,F046,3329.613200010499,3,True,LG,841,general_market;earnings,2
5.6099999999999995e-05,F046,1479.5004000043264,1,True,TB,320,retail_sales;consumer_sentiment;earnings,3
0.0001626,F047,3181.459500003257,3,True,LG,847,regulation;general_market,2
5.565e-05,F047,1197.058099991409,1,True,TB,320,regulation;big_tech_financial_impact,2
0.00016889999999999999,F048,3781.3063000066904,3,True,LG,859,guidance;earnings;general_market,3
5.82e-05,F048,1039.501300008851,1,True,TB,325,earnings;guidance;consumer_sentiment;general_market,4
0.0001803,F049,6398.37080000143,3,True,LG,968,opec_production_cuts;general_market;inflation,3
6.435e-05,F049,4247.279400005937,1,True,TB,375,opec_production_cuts;global_oil_prices,2
0.00015644999999999998,F050,3413.589999996475,3,True,LG,845,ai_chip_demand;earnings;general_market,3
6.255e-05,F050,967.1842000097968,1,True,TB,336,ai_chip_demand;earnings;guidance;big_tech_financial_impact,4
